unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{50F18103-E205-9FD5-E050-A8C063054923},295000,2017-05-12 00:00,LE11 2ED,S,N,F,15,"",PARK ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{50F18103-E218-9FD5-E050-A8C063054923},109000,2017-05-05 00:00,LE65 1FX,F,N,L,84,"",OAK CRESCENT,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,B,A
{75050A85-54B8-9A88-E053-6B04A8C02390},125000,2017-06-29 00:00,LE11 1LD,F,Y,L,25,"",ANNIES WHARF,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{5A9D8B55-5CBE-68EB-E053-6B04A8C0D293},150000,2017-08-29 00:00,LE67 4BQ,S,N,F,20,"",DEVANA AVENUE,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{5A9D8B55-5ED9-68EB-E053-6B04A8C0D293},195000,2017-09-01 00:00,LE67 4TY,S,N,F,3,"",WINDSOR CLOSE,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{5A9D8B55-5F01-68EB-E053-6B04A8C0D293},209000,2017-09-01 00:00,LE10 2AU,S,N,F,56,"",SAPCOTE ROAD,BURBAGE,HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{5F54B81D-57C0-2B45-E053-6B04A8C01FB0},187000,2017-11-09 00:00,LE10 0JN,S,N,F,12,"",BEAUMONT AVENUE,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{5F54B81D-57DD-2B45-E053-6B04A8C01FB0},112000,2017-10-30 00:00,LE18 1AN,T,N,F,10,"",PENNEY CLOSE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{5F54B81D-5E01-2B45-E053-6B04A8C01FB0},165000,2017-10-17 00:00,LE10 0PX,S,N,F,53,"",MEREVALE AVENUE,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{5F54B81D-5E15-2B45-E053-6B04A8C01FB0},100000,2017-10-31 00:00,LE67 3GB,T,N,F,8,"",BRIDLE ROAD,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{55BDCAE6-2867-521D-E053-6B04A8C0DD7A},227500,2017-06-23 00:00,LE11 3RW,D,N,F,28,"",KIRKSTONE DRIVE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{55BDCAE6-2672-521D-E053-6B04A8C0DD7A},142000,2017-07-21 00:00,LE67 3SB,S,N,F,33,"",BREACH ROAD,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{55BDCAE6-289F-521D-E053-6B04A8C0DD7A},170000,2017-07-14 00:00,LE11 5HL,T,N,F,180,"",DERBY ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{55BDCAE6-26CE-521D-E053-6B04A8C0DD7A},270000,2017-07-07 00:00,LE65 2QR,D,N,F,51,"",MARLBOROUGH WAY,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
