query,latitude,longitude,display_name,geocode_status
"19 LOWER PACKINGTON ROAD ASHBY-DE-LA-ZOUCH, LE65 1GH, United Kingdom",52.7415886,-1.4745399,"Lower Packington Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1GD, United Kingdom",ok
"11 SCOTT CLOSE ASHBY-DE-LA-ZOUCH, LE65 1HT, United Kingdom",,,"",no_result
"3 ALLISON CLOSE ASHBY-DE-LA-ZOUCH, LE65 1JZ, United Kingdom",52.7546101,-1.4702872,"Allison Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1JZ, United Kingdom",ok
"5 BOSWORTH CLOSE ASHBY-DE-LA-ZOUCH, LE65 1LB, United Kingdom",52.7512413,-1.4603878,"Bosworth Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LB, United Kingdom",ok
"11 KING RICHARD WAY ASHBY-DE-LA-ZOUCH, LE65 1LD, United Kingdom",52.751954,-1.4592489,"King Richard Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LD, United Kingdom",ok
"5 CROMWELL CLOSE ASHBY-DE-LA-ZOUCH, LE65 1LU, United Kingdom",52.7519746,-1.4579297,"Cromwell Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LU, United Kingdom",ok
"3 FEATHERBED LANE ASHBY-DE-LA-ZOUCH, LE65 1LX, United Kingdom",52.7511175,-1.4585542,"3, Featherbed Lane, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LX, United Kingdom",ok
"15 ASTLEY WAY ASHBY-DE-LA-ZOUCH, LE65 1LY, United Kingdom",52.751941,-1.4568769,"Astley Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LH, United Kingdom",ok
"17 FAIRFAX CLOSE ASHBY-DE-LA-ZOUCH, LE65 1LZ, United Kingdom",52.7513412,-1.4593331,"Fairfax Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1LZ, United Kingdom",ok
"5 LODGE CLOSE ASHBY-DE-LA-ZOUCH, LE65 1SJ, United Kingdom",52.7423525,-1.4792994,"Lodge Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1SJ, United Kingdom",ok
"4 SYCAMORE DRIVE ASHBY-DE-LA-ZOUCH, LE65 1SP, United Kingdom",52.749496,-1.4594152,"Sycamore Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2SR, United Kingdom",ok
"10 WINDSOR ROAD ASHBY-DE-LA-ZOUCH, LE65 1TW, United Kingdom",52.7414905,-1.4717258,"Windsor Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1TW, United Kingdom",ok
"14 WINDSOR ROAD ASHBY-DE-LA-ZOUCH, LE65 1TW, United Kingdom",52.7414905,-1.4717258,"Windsor Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1TW, United Kingdom",ok
"11 STUART WAY ASHBY-DE-LA-ZOUCH, LE65 1US, United Kingdom",52.7419563,-1.4727159,"Stuart Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1US, United Kingdom",ok
"7 WARWICK WAY ASHBY-DE-LA-ZOUCH, LE65 1YZ, United Kingdom",52.7434923,-1.4670168,"Warwick Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1WY, United Kingdom",ok
"30 DAIRY LANE ASHBY-DE-LA-ZOUCH, LE65 2AW, United Kingdom",52.7570598,-1.4749971,"Dairy Lane, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2AW, United Kingdom",ok
"22 WHEATLEY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2AY, United Kingdom",52.7578371,-1.4749643,"Wheatley Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2AY, United Kingdom",ok
"24 WHEATLEY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2AY, United Kingdom",52.7578371,-1.4749643,"Wheatley Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2AY, United Kingdom",ok
"26 WHEATLEY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2AY, United Kingdom",52.7578371,-1.4749643,"Wheatley Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2AY, United Kingdom",ok
"28 WHEATLEY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2AY, United Kingdom",52.7578371,-1.4749643,"Wheatley Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2AY, United Kingdom",ok
"35 AVENUE ROAD ASHBY-DE-LA-ZOUCH, LE65 2FA, United Kingdom",52.7408685,-1.4762463,"35, Avenue Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FA, United Kingdom",ok
"18 AVENUE ROAD ASHBY-DE-LA-ZOUCH, LE65 2FE, United Kingdom",,,"",no_result
"64 HIGHFIELDS CLOSE ASHBY-DE-LA-ZOUCH, LE65 2FN, United Kingdom",52.7468947,-1.4838746,"64, Highfields Close, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FN, United Kingdom",ok
"21 HIGHFIELDS CLOSE ASHBY-DE-LA-ZOUCH, LE65 2FP, United Kingdom",52.7471829,-1.481855,"21, Highfields Close, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FP, United Kingdom",ok
"15 KILWARDBY STREET ASHBY-DE-LA-ZOUCH, LE65 2FR, United Kingdom",52.7458331,-1.4781594,"15, Kilwardby Street, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FR, United Kingdom",ok
"3 KIRKLAND CLOSE ASHBY-DE-LA-ZOUCH, LE65 2FT, United Kingdom",52.7459278,-1.475127,"Kirkland Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FT, United Kingdom",ok
"4 KIRKLAND CLOSE ASHBY-DE-LA-ZOUCH, LE65 2FT, United Kingdom",52.7459278,-1.475127,"Kirkland Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2FT, United Kingdom",ok
"25 ROYAL MEWS STATION ROAD ASHBY-DE-LA-ZOUCH, LE65 2GJ, United Kingdom",,,"",no_result
"18 TRINITY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2GR, United Kingdom",52.7449359,-1.4755352,"18, Trinity Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2GR, United Kingdom",ok
"43 TRINITY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2GS, United Kingdom",52.7446216,-1.4798859,"43, Trinity Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2GS, United Kingdom",ok
"CRAMBLE COTTAGE WILFRED GARDENS ASHBY-DE-LA-ZOUCH, LE65 2GX, United Kingdom",,,"",no_result
"17 HOLYWELL AVENUE ASHBY-DE-LA-ZOUCH, LE65 2HL, United Kingdom",52.752824,-1.4745172,"Holywell Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2HL, United Kingdom",ok
"12 HACKETT CLOSE ASHBY-DE-LA-ZOUCH, LE65 2HP, United Kingdom",52.7495375,-1.4749267,"Hackett Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2HP, United Kingdom",ok
"6 HACKETT CLOSE ASHBY-DE-LA-ZOUCH, LE65 2HP, United Kingdom",52.7495375,-1.4749267,"Hackett Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2HP, United Kingdom",ok
"28 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JA, United Kingdom",52.7510762,-1.4730883,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JA, United Kingdom",ok
"32 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JA, United Kingdom",52.7510762,-1.4730883,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JA, United Kingdom",ok
"48 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JA, United Kingdom",52.7510762,-1.4730883,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JA, United Kingdom",ok
"74 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JA, United Kingdom",52.7510762,-1.4730883,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JA, United Kingdom",ok
"1 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JB, United Kingdom",52.751177,-1.4725094,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JB, United Kingdom",ok
"19 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JB, United Kingdom",52.751177,-1.4725094,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JB, United Kingdom",ok
"43 DREW COURT ASHBY-DE-LA-ZOUCH, LE65 2JB, United Kingdom",52.751177,-1.4725094,"Drew Court, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JB, United Kingdom",ok
"26 THE CALLIS ASHBY-DE-LA-ZOUCH, LE65 2JF, United Kingdom",52.7504202,-1.474415,"The Callis, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JF, United Kingdom",ok
"31 THE CALLIS ASHBY-DE-LA-ZOUCH, LE65 2JG, United Kingdom",52.7492917,-1.4745471,"31, The Callis, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2HF, United Kingdom",ok
"2 SMISBY ROAD ASHBY-DE-LA-ZOUCH, LE65 2JL, United Kingdom",52.7549533,-1.4750032,"Smisby Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JN, United Kingdom",ok
"4 SMISBY ROAD ASHBY-DE-LA-ZOUCH, LE65 2JL, United Kingdom",52.7549533,-1.4750032,"Smisby Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JN, United Kingdom",ok
"90 SMISBY ROAD ASHBY-DE-LA-ZOUCH, LE65 2JL, United Kingdom",52.7549533,-1.4750032,"Smisby Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JN, United Kingdom",ok
"114 SMISBY ROAD ASHBY-DE-LA-ZOUCH, LE65 2JN, United Kingdom",52.7549533,-1.4750032,"Smisby Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JN, United Kingdom",ok
"94 SMISBY ROAD ASHBY-DE-LA-ZOUCH, LE65 2JN, United Kingdom",52.7549533,-1.4750032,"Smisby Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JN, United Kingdom",ok
"18 SAXON WAY ASHBY-DE-LA-ZOUCH, LE65 2JR, United Kingdom",52.7501608,-1.4817875,"18, Saxon Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JR, United Kingdom",ok
"12 MEREDITH ROAD ASHBY-DE-LA-ZOUCH, LE65 2JW, United Kingdom",52.752301,-1.4715325,"Meredith Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2JW, United Kingdom",ok
"5 MALVERN CRESCENT ASHBY-DE-LA-ZOUCH, LE65 2JZ, United Kingdom",52.7550913,-1.4791431,"Malvern Crescent, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2HB, United Kingdom",ok
"32 ATKINSON ROAD ASHBY-DE-LA-ZOUCH, LE65 2LA, United Kingdom",52.7506188,-1.4869673,"Atkinson Road, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LZ, United Kingdom",ok
"6 ATKINSON ROAD ASHBY-DE-LA-ZOUCH, LE65 2LA, United Kingdom",52.7511083,-1.4869415,"1-6, Atkinson Road, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LZ, United Kingdom",ok
"103 BURTON ROAD ASHBY-DE-LA-ZOUCH, LE65 2LG, United Kingdom",52.7485584,-1.4808503,"Burton Road, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LG, United Kingdom",ok
"28 BURTON ROAD ASHBY-DE-LA-ZOUCH, LE65 2LL, United Kingdom",52.7480809,-1.4766096,"28, Burton Road, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LL, United Kingdom",ok
"15 CHURCHILL CLOSE ASHBY-DE-LA-ZOUCH, LE65 2LR, United Kingdom",52.7476491,-1.4818092,"15, Churchill Close, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LR, United Kingdom",ok
