match_key,unique_id,LMK_KEY,geocode_query,latitude,longitude,display_name,geocode_status,distance_to_prison_m
LE100BJ|80 TRINITY LANE HINCKLEY,{47844C7F-FC27-8986-E050-A8C063056488},796f297054e3aded1189cd497de254a7ef4e72ef6f87dc46571b7763050cc45a,"80 TRINITY LANE HINCKLEY, LE10 0BJ, United Kingdom",52.5409433,-1.3754867,"Trinity Lane, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0BJ, United Kingdom",ok,16299.064719286
LE100BQ|17 TRINITY LANE HINCKLEY,{CB0035E5-F577-58AE-E053-6B04A8C091AF},d4ad1f0fbdb84654c66bf5fa7e3dcaa362f2c217e136b6f1d83dff72536a3035,"17 TRINITY LANE HINCKLEY, LE10 0BQ, United Kingdom",52.5427374,-1.3752622,"Trinity Lane, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0BS, United Kingdom",ok,16225.9601613778
LE100BW|14 RICHMOND GATE HINCKLEY,{C3C3F9B5-F8E3-362B-E053-6B04A8C03ACC},bf6db78878f764bf96b50e3f90ce7968559e359fde748a46f81f455fa05c71e2,"14 RICHMOND GATE HINCKLEY, LE10 0BW, United Kingdom",52.5542637,-1.3752615,"Richmond Gate, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AF, United Kingdom",ok,15903.9417130818
LE100BW|45 RICHMOND GATE HINCKLEY,{E53EDD2D-EC30-83EC-E053-6B04A8C03A59},393ddf7811a98fb6d72da205ef72f42ca44d9a2775dad76337f781428042931e,"45 RICHMOND GATE HINCKLEY, LE10 0BW, United Kingdom",52.5542637,-1.3752615,"Richmond Gate, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AF, United Kingdom",ok,15903.9417130818
LE100BW|51 RICHMOND GATE HINCKLEY,{F16F63C5-D7F6-0491-E053-6C04A8C032ED},bae362689db4e3b73a008010e44b6ee0b3217f67137ec69218b027528b2e6b9b,"51 RICHMOND GATE HINCKLEY, LE10 0BW, United Kingdom",52.5542637,-1.3752615,"Richmond Gate, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AF, United Kingdom",ok,15903.9417130818
LE100BX|42 TRINITY VICARAGE ROAD HINCKLEY,{C6209F5F-8056-295E-E053-6C04A8C0DDCC},bd9d8a6c82b760cfbae042b80da003899fab14b6a404cd2c5b29f9a0f261904e,"42 TRINITY VICARAGE ROAD HINCKLEY, LE10 0BX, United Kingdom",52.5414076,-1.377986,"Trinity Vicarage Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0LQ, United Kingdom",ok,16445.201830114
LE100BX|42 TRINITY VICARAGE ROAD HINCKLEY,{09266DDB-E136-AF90-E063-4704A8C02087},bd9d8a6c82b760cfbae042b80da003899fab14b6a404cd2c5b29f9a0f261904e,"42 TRINITY VICARAGE ROAD HINCKLEY, LE10 0BX, United Kingdom",52.5414076,-1.377986,"Trinity Vicarage Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0LQ, United Kingdom",ok,16445.201830114
LE100BY|17 TRINITY COURT HINCKLEY,{06C9F487-86B8-9388-E063-4804A8C0BD98},bb6b47161af5bd2db3ddbe83bd53b3a0400226f3100cf0bb1370484b5032e24b,"17 TRINITY COURT HINCKLEY, LE10 0BY, United Kingdom",52.540934,-1.3762757,"Trinity Court, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0BY, United Kingdom",ok,16350.2957067214
LE100BY|30 TRINITY COURT HINCKLEY,{773788C2-D61E-2CE4-E053-6C04A8C05E57},4449cce1de97c50465cd6c2fa42735c5dc5644a764be20cf0f7b425a200c1810,"30 TRINITY COURT HINCKLEY, LE10 0BY, United Kingdom",52.540934,-1.3762757,"Trinity Court, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0BY, United Kingdom",ok,16350.2957067214
LE100DD|28 WHITWORTH AVENUE HINCKLEY,{22C78195-90FF-4FB3-AC99-9BE027621619},e2713186f2e9edb416144484c65b67bdef52108d3726425c57d62455460c681a,"28 WHITWORTH AVENUE HINCKLEY, LE10 0DD, United Kingdom",52.5347838,-1.3978411,"Whitworth Avenue, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DD, United Kingdom",ok,17947.7705645398
LE100DE|5 CANAL WAY HINCKLEY,{D93B27B0-FAB2-3100-E053-6C04A8C08887},dbfa365b3ea49a9a9e5ddec03b68e7d8312c6029d2a2a90347a31f4f9b8c7b15,"5 CANAL WAY HINCKLEY, LE10 0DE, United Kingdom",52.5337812,-1.3988565,"Canal Way, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DE, United Kingdom",ok,18047.837743918
LE100DG|73 BURLEIGH ROAD HINCKLEY,{D4D42645-F355-27F6-E053-6C04A8C0A572},8525201dd0d8715d6e797dbe180804626f51ab5932fe39dee36738cdd93bdcb7,"73 BURLEIGH ROAD HINCKLEY, LE10 0DG, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DH|11 EDWARD STREET HINCKLEY,{D707E535-8929-0AD9-E053-6B04A8C067CC},3f8caaa7f9fe2d6d4346ad3bde3c42ebda0dd8d0acf373301871ec0dffe10099,"11 EDWARD STREET HINCKLEY, LE10 0DH, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DH|51 EDWARD STREET HINCKLEY,{D93B27B0-FA69-3100-E053-6C04A8C08887},8732b53200a51ee1f202a759ce218ded96abd28165134b8a5e3e6d195992b7ec,"51 EDWARD STREET HINCKLEY, LE10 0DH, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DH|51 EDWARD STREET HINCKLEY,{36A61A94-B9B8-DEF2-E063-4704A8C046AE},8732b53200a51ee1f202a759ce218ded96abd28165134b8a5e3e6d195992b7ec,"51 EDWARD STREET HINCKLEY, LE10 0DH, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
